Wind (m/s),Kd (Jerlov),Wind_input,Kd_input,Depth (m),SVU (m),SHU (m)
1,III,2,0.12,15,0.109,3.116
1,IC,4,0.15,15,0.133,3.045
1,3C,6,0.21,15,0.155,2.934
1,5C,8,0.27,15,0.213,2.787
1,7C,10,0.471,15,0.289,2.535
3,III,2,0.12,15,0.108,3.128
3,IC,4,0.15,15,0.133,3.054
3,3C,6,0.21,15,0.154,2.939
3,5C,8,0.27,15,0.211,2.787
3,7C,10,0.471,15,0.335,2.49
5,III,2,0.12,15,0.111,3.164
5,IC,4,0.15,15,0.136,3.077
5,3C,6,0.21,15,0.163,2.953
5,5C,8,0.27,15,0.213,2.796
5,7C,10,0.471,15,0.334,2.579
7,III,2,0.12,15,0.113,3.188
7,IC,4,0.15,15,0.14,3.091
7,3C,6,0.21,15,0.162,2.962
7,5C,8,0.27,15,0.217,2.797
7,7C,10,0.471,15,0.332,2.503
9,III,2,0.12,15,0.116,3.191
9,IC,4,0.15,15,0.14,3.096
9,3C,6,0.21,15,0.161,2.965
9,5C,8,0.27,15,0.217,2.798
9,7C,10,0.471,15,0.34,2.588
