Wind,JerlovType,a,b,c
1,III,-6.16181644902717e-05,-0.0131154105351535,2.21610343653977
1,IC,-4.93902002348174e-05,-0.0199149008772983,2.22173855125255
1,3C,-4.11609902287695e-05,-0.0305916720733502,2.2246729190481
1,5C,0.000119588380926135,-0.060699725080603,2.23533896350492
1,7C,0.00108843854507482,-0.134119919016773,2.25129290557366
3,III,-6.00584335031451e-05,-0.0132780551089749,2.21771549482279
3,IC,-5.08924514791125e-05,-0.0198905139817433,2.22133398948312
3,3C,-3.42355275334541e-05,-0.0308935537874865,2.22525683040276
3,5C,0.00012941712690048,-0.0608823400988336,2.23364535709462
3,7C,0.00103142826914137,-0.13303631462845,2.24637242433235
5,III,-5.65681203820681e-05,-0.0135979799128125,2.21992159961182
5,IC,-4.76060575970015e-05,-0.0201442104832109,2.22219000447144
5,3C,-3.45241149545519e-05,-0.0310242756164273,2.22538208155637
5,5C,0.000146927114648247,-0.0614834899051208,2.23533253181782
5,7C,0.000895850933386756,-0.131052413126023,2.23951957835189
7,III,-5.81570814091419e-05,-0.0135643689605056,2.21904861093581
7,IC,-4.60270539398205e-05,-0.0202998236950694,2.22277146037135
7,3C,-3.05188009957869e-05,-0.031218506689888,2.22527970468366
7,5C,0.000139075842712816,-0.0613270357533645,2.23289796048191
7,7C,0.00112679823044625,-0.134637637829936,2.24441857549609
9,III,-5.75508204947946e-05,-0.0136111476054441,2.21925069839375
9,IC,-4.6116090045408e-05,-0.0203138241557414,2.22265918088463
9,3C,-3.10861086854201e-05,-0.0312231450199734,2.22529713194437
9,5C,0.000160411801973918,-0.0619158617899903,2.23521697572847
9,7C,0.0011319259930843,-0.134883705065215,2.24670405158464
