Wind,JerlovType,a,b
1,III,4.4717495171151,0.0760190714252316
1,IC,4.37615027249574,0.0751663954438077
1,3C,4.33386314434442,0.0660385640254306
1,5C,4.39798873057554,0.0453003282346298
1,7C,4.55809525536685,0.00325245850323519
3,III,4.4947027148399,0.0762597026218731
3,IC,4.38592133272832,0.075345228899371
3,3C,4.34059726768253,0.0660376364776091
3,5C,4.406929101286,0.0448839623552718
3,7C,4.58506164834201,-0.000921073145395923
5,III,4.5413019803743,0.0771353488263503
5,IC,4.41587314909966,0.0760802204316555
5,3C,4.35586068397334,0.066512286103326
5,5C,4.40520227777775,0.0458500526925228
5,7C,4.51150402384267,0.0112671314607055
7,III,4.56794493348096,0.0777933272196539
7,IC,4.43344308965306,0.076347346510713
7,3C,4.36677637160566,0.0668369114855537
7,5C,4.41139954159597,0.0460852567485859
7,7C,4.58040310750544,0.000386279334613727
9,III,4.57664267247555,0.077766170555662
9,IC,4.43833918439582,0.076499920809096
9,3C,4.36691617801237,0.0671937939554299
9,5C,4.41268266019093,0.0457697056493111
9,7C,4.55756973662279,0.00372136841380989
