Wind,JerlovType,a,b
1,III,0.0132750754147238,0.00682758134715888
1,IC,4.02236596678246e-07,0.00856112628217823
1,3C,6.09753034724693e-08,0.0100345285892038
1,5C,-1.94893797009959e-07,0.0138808352863187
1,7C,-5.08732750078066e-08,0.0189769391456136
3,III,0.0121232455707506,0.00677202352340012
3,IC,-5.21181435928202e-07,0.00850803744478722
3,3C,3.431193657453e-07,0.00993712435861723
3,5C,7.96076461908425e-08,0.0137893166161429
3,7C,-3.02865069498672e-07,0.0220847757166317
5,III,0.0143345372406435,0.00692244580578788
5,IC,-5.00798159724923e-07,0.00875984850133947
5,3C,5.53287790892883e-08,0.0105360400580893
5,5C,7.15675455139931e-08,0.0138788753250785
5,7C,7.1780375247615e-07,0.0220177760945989
7,III,0.0175298480061905,0.00706612741939109
7,IC,-4.09611304818506e-07,0.00898104062718066
7,3C,-1.5474596805373e-07,0.0105205452047431
7,5C,-2.79490169813079e-07,0.0141728473753818
7,7C,3.50437992941029e-07,0.0218750215071256
9,III,0.015482657876487,0.00725991225681752
9,IC,5.94259603979779e-07,0.00902513894318578
9,3C,2.00420377882301e-07,0.0104606714255429
9,5C,4.53972863133976e-07,0.0141829555265561
9,7C,-2.96458113805382e-07,0.0224369400566067
